dim1,dim2,label
-30682.925990432053,536.2913189775022,ALL
176.92887739392546,3936.7303401140184,ALL
18492.235738878808,10167.310425734226,ALL
-57159.99912013911,9154.492588851284,ALL
-21913.84741758726,-10897.334634281066,ALL
15557.045566699328,-16130.685650790552,ALL
-78304.27111979446,-2195.776672483322,ALL
-8902.065635756277,10321.13726944176,ALL
-67294.98807352125,50533.37055565079,ALL
-7270.467934939984,103638.44719295767,ALL
-31369.154133969947,13058.122025389432,ALL
-33946.34497280044,1554.04515543291,ALL
-22405.463927299403,3990.3251099617382,ALL
-71975.39560306995,21083.75636208462,ALL
-28372.463485464705,2826.2013554933546,ALL
-26951.842913098095,63187.591858345266,ALL
-18742.318707201717,3994.0411612065345,ALL
-31471.750968963406,9265.067651053443,ALL
-82896.90181589397,1187.3362181775892,ALL
39669.43509104593,136498.4051495455,ALL
-19816.91254159044,126225.22465133763,ALL
-85945.73139023203,98738.10118477588,ALL
-18413.11892415062,168476.30123866702,ALL
-43321.10951470015,122706.90216032852,ALL
-48579.630029058884,121455.81707714898,ALL
-22508.687851706716,74032.57512929676,ALL
-23316.211747379984,38196.369111357904,ALL
59229.33133834033,-17625.801102469275,AML
10696.251941767203,-39587.08197824524,AML
145191.42203168952,38901.25609690013,AML
127517.28935046647,3652.9462157086077,AML
43122.82789608993,-30833.454234777277,AML
97577.93120159303,74863.07044270879,AML
46812.18208471279,-51751.21435143292,AML
120577.12831771435,6809.901160648555,AML
61058.168125986915,-16767.56425538691,AML
53627.61435507614,42154.34448713983,AML
116115.79520237217,14236.536336565454,AML
-34747.26864048372,-9996.156495708357,ALL
-100135.73731751012,-14355.876726608121,ALL
-22601.063480431738,-20194.80125335752,ALL
-58888.0963547412,-24047.637959564858,ALL
-56754.85084695683,-71217.45121677639,ALL
-24984.198661878345,26464.978028474547,ALL
-44619.50659687422,6470.394862675349,ALL
-20335.447306950573,-30721.276284360712,ALL
-59926.44116044118,-94235.30065334297,ALL
-75560.54164500025,-61477.790267645825,ALL
-12489.655681110535,-30503.939782112677,ALL
-35589.26870890331,-41702.73785933761,ALL
-39941.999964515955,-34632.29681127827,ALL
-23331.70434640239,-3124.3426168145925,ALL
-75865.38382985938,12690.465107285974,ALL
-9129.269583496318,20288.855606079793,ALL
-12646.692790091578,1927.4829104231014,ALL
-2993.2958830717457,53304.14685897743,ALL
-34553.77852556237,-45071.42702536346,ALL
-105901.218356207,-55307.78366926817,ALL
-104485.12903462083,-108970.2777664481,ALL
105713.11607761472,-20802.394950595717,AML
124123.75063181834,-44445.25395534136,AML
69998.0227085347,-61967.5234162852,AML
106852.40345905015,-36376.48553996707,AML
76872.89040751656,-40169.161038310354,AML
31013.30977315365,-55703.039739120504,AML
-28239.771966572294,-124625.32243308918,AML
-5645.399693724618,-117742.50109237847,AML
33668.3849507457,-54182.38851029325,AML
75281.30091846622,-37815.96976646013,AML
-44042.261048799126,-61225.54957824264,AML
133099.1608777913,20701.85259712091,AML
55052.36006278699,-12767.038356904608,AML
147873.2982556512,-18059.5553571964,AML
